"","iso_code","year","collector","number","family","species","sp_code","qds","lat","long","pathway","weight","d.15NAIR","d.13CVPDB","X.N","X.C","C.N","d13_atmos","delta.disc","wetstart","wetend","wetlength","wetrain","wetdaily","wetlambda","avg_temp_anomaly","co2_ppm"
"31",33,1932,"Smith, C.A.","6248","Poaceae","Digitaria eriantha","DE","2528CA",-25.625,28.125,"C4",1.717,6.3,-10.9,2.4,41.8,17.5,-6.906,4.038014356,111,262,151,502.35,3.30493421052631,9.38925576519916,-0.264271795749664,306.76
"32",34,1932,"Smith, C.A.","6078B","Poaceae","Digitaria eriantha","DE","2528CA",-25.625,28.125,"C4",1.653,3.9,-10.3,1.3,42.2,33.4,-6.906,3.429322017,111,262,151,502.35,3.30493421052631,9.38925576519916,-0.264271795749664,306.76
"33",35,1929,"Skea, D.","65","Poaceae","Digitaria eriantha","DE","2528CA",-25.625,28.125,"C4",1.764,2.7,-10.6,1.2,41.1,35,-6.841285714,3.798983511,142.666666666667,263,120.333333333333,580.633333333333,4.82154801051051,13.5760869565218,0.0467053726315498,306.12
"34",36,1932,"Mogg, A.O.D.","12329","Poaceae","Digitaria eriantha","DE","2528CA",-25.625,28.125,"C4",1.701,7.3,-11.1,1.6,43.6,27.9,-6.906,4.241075943,111,262,151,502.35,3.30493421052631,9.38925576519916,-0.264271795749664,306.76
"35",37,1932,"Smith, C.A.","6070","Poaceae","Digitaria eriantha","DE","2528CA",-25.625,28.125,"C4",1.676,3.4,-10.7,2,42.7,21,-6.906,3.835034873,111,262,151,502.35,3.30493421052631,9.38925576519916,-0.264271795749664,306.76
"36",38,1932,"Mogg, A.O.D.","12330","Poaceae","Digitaria eriantha","DE","2528CA",-25.625,28.125,"C4",1.651,6.8,-9.5,2.5,43.5,17.3,-6.906,2.618879354,111,262,151,502.35,3.30493421052631,9.38925576519916,-0.264271795749664,306.76
"37",40,1932,"Smith, C.A.","6238","Poaceae","Digitaria eriantha","DE","2528CA",-25.625,28.125,"C4",1.531,3,-10.3,1.3,42,32.7,-6.906,3.429322017,111,262,151,502.35,3.30493421052631,9.38925576519916,-0.264271795749664,306.76
"38",41,1972,"Ellis, R.P.","1327","Poaceae","Digitaria eriantha","DE","2528CA",-25.625,28.125,"C4",1.898,6.7,-11.7,1.7,42.9,25.5,-7.356,4.39542649,120,268,148,642.2,4.31006711409396,12.844,0.153055623173714,326.61
"39",42,1932,"Smith, C.A.","6072","Poaceae","Digitaria eriantha","DE","2528CA",-25.625,28.125,"C4",1.856,5.2,-10.7,1.4,41.1,28.6,-6.906,3.835034873,111,262,151,502.35,3.30493421052631,9.38925576519916,-0.264271795749664,306.76
"40",43,1972,"Ellis, R.P.","1028","Poaceae","Digitaria eriantha","DE","2528CA",-25.625,28.125,"C4",1.784,1.8,-10.9,2.6,44.5,17.3,-7.356,3.583055303,120,268,148,642.2,4.31006711409396,12.844,0.153055623173714,326.61
"41",44,1932,"Smith, C.A.","6078","Poaceae","Digitaria eriantha","DE","2528CA",-25.625,28.125,"C4",1.983,4.4,-10.4,1.7,42.8,25.6,-6.906,3.530719483,111,262,151,502.35,3.30493421052631,9.38925576519916,-0.264271795749664,306.76
"42",45,1924,"Dickson, J.","PRE 54","Poaceae","Digitaria eriantha","DE","2528CA",-25.625,28.125,"C4",1.907,1.7,-9.5,1.2,42.4,35.9,-6.887,2.638061585,133,264,131,513.2,3.88787878787879,8.60551782682513,-0.387745350599289,305.01
"43",46,1978,"Manders, R.","1","Poaceae","Hyparrhenia hirta","HH","2528CA",-25.625,28.125,"C4",1.945,1.5,-12.1,1,42.6,41.3,-7.502,4.654317239,111,254.333333333333,143.333333333333,872.233333333333,6.23644549348719,18.6042173696653,-0.17278741300106,333.77
"44",47,1913,"Theiler","TRV 26678","Poaceae","Digitaria eriantha","DE","2528CA",-25.625,28.125,"C4",1.845,7.2,-10.3,1.9,40.5,21.7,-6.867,3.468727897,135,293,158,623.3,3.92012578616352,8.65694444444444,-0.850542843341827,299.91
"45",49,1970,"Ellis, R.P.","126","Poaceae","Digitaria eriantha","DE","2528CA",-25.625,28.125,"C4",1.621,5.3,-11.5,2,42.4,21.6,-7.318156423,4.230494261,101,204,103,450.05,4.41705225773719,13.2027727272727,-0.242853567004204,324.09
"46",50,1926,"Smith, C.A.","2296","Poaceae","Digitaria eriantha","DE","2528CA",-25.625,28.125,"C4",1.823,12.2,-10.5,3.3,44.1,13.5,-6.966800343,3.570691922,69.5,259,189.5,556.1,2.91922123015873,9.60107142857143,-0.467953234910965,305.23
"47",52,1931,"Mogg, A.O.D.","16472","Poaceae","Digitaria eriantha","DE","2528CA",-25.625,28.125,"C4",1.788,3,-11.3,1.2,43.5,37,-6.9815,4.367856782,141.666666666667,288.333333333333,146.666666666667,437.133333333333,3.01011421755398,8.70354525648643,0.241019055247307,306.5
"48",53,1919,"Stent, S.M.","PRE 19939","Poaceae","Hyparrhenia hirta","HH","2528CA",-25.625,28.125,"C4",1.738,5.9,-10.2,1.2,42,35.7,-6.94453502,3.289012912,139.5,262,122.5,551.2,4.46613707983193,10.9139607843138,-1.1985832452774,303.7
"49",54,1976,"Du Toit, P.C.V.","1527","Poaceae","Hyparrhenia hirta","HH","3318CD",-33.875,18.375,"C4",1.64,3,-11.1,0.9,43.9,47.7,-7.4425,3.698553949,145.5,281,135.5,626,4.20350432288992,10.0248218201755,-0.462118536233902,331.57
"50",55,1935,"Esterhuysen, E.E.","589","Poaceae","Koeleria capensis","KC","3318CD",-33.875,18.375,"C3",1.938,1.2,-27.4,1.3,42.2,31.9,-6.976,20.9993831,107.25,272.5,165.25,559.9,3.20725109727757,10.4520892332882,0.120336756110191,307.9
"51",56,1897,"Wolley-Dod, A.H.","3558","Poaceae","Pentameris pallida","PP","3318CD",-33.95,18.46666667,"C3",1.63,5.6,-29,1.6,41.4,25.9,-6.796333333,22.86680398,171,282,111,516.7,4.50407606515286,8.6137575757576,-0.224109441041946,293.99
"52",57,1916,"Bolus, F.","14960","Poaceae","Pentameris pallida","PP","3318CD",-33.875,18.375,"C3",1.873,3.9,-27.8,1.3,40.7,30.5,-6.8975,21.50020572,113,262,149,602.216666666667,4.02453022875817,8.094939475872,-0.0596873536705971,301.93
"53",58,1902,"Marloth, H.W.R.","3049","Poaceae","Pentameris pallida","PP","3318CD",-33.875,18.375,"C3",1.955,-0.3,-27.5,1.3,43.6,33.9,-6.769743787,21.31645883,139,274,135,805.033333333333,5.93550187869029,10.0953663885323,-0.674485623836517,295.95
"54",59,1940,"Esterhuysen, E.E.","11753","Poaceae","Pentameris pallida","PP","3318CD",-33.875,18.375,"C3",1.744,2,-28.5,1,42.7,43.7,-6.938,22.19454452,116,256.5,140.5,533.2,3.60700667033935,10.7781373646883,-0.546454727649689,310.55
"55",60,1974,"Ellis, R.P.","2307","Poaceae","Pentameris pallida","PP","3318CD",-33.875,18.375,"C3",1.524,4.9,-28.9,1.1,42.6,39.2,-7.483,22.05437133,120.6,257,136.4,805.24,5.75302831606104,13.7471592637931,-0.492542624473572,329.19
"56",61,1919,"Andreae, H.","85","Poaceae","Pentameris pallida","PP","3318CD",-33.875,18.375,"C3",1.617,-1.5,-28.4,0.9,43.7,46.6,-6.94453502,22.08261114,145.8,270.4,124.6,416.9,3.27921460315421,7.67049377392234,-0.969066202640533,303.7
"57",63,1976,"Du Toit, PCV","1522","Poaceae","Pentameris pallida","PP","3318CD",-33.875,18.375,"C3",1.953,4.4,-29.2,1.8,41.6,23.3,-7.4425,22.41192831,145.5,281,135.5,626,4.20350432288992,10.0248218201755,-0.462118536233902,331.57
"58",64,1915,"Bolus, H.M.L.","14741","Poaceae","Pentameris pallida","PP","3318CD",-33.98333333,18.41666667,"C3",1.794,0.5,-28.2,1.4,44.2,32.7,-6.878861797,21.93984174,74,262.4,188.4,801.42,4.25074795923296,9.70372237395208,-0.297274440526962,301.23
"59",65,1936,"Adamson, R.S.","811","Poaceae","Koeleria capensis","KC","3318CD",-33.875,18.375,"C3",1.714,2.7,-26.1,1.9,45.7,24.2,-6.939,19.67450457,146,253,107,408,3.76071367884452,9.43872967990614,-0.232900843024254,308.44
"60",66,1953,"Esterhuysen, E.E.","22181","Poaceae","Pentameris pallida","PP","3318CD",-33.95,18.41666667,"C3",1.872,3.8,-27.4,0.9,44.2,48.8,-7.010270232,20.96414741,96.3333333333333,232.666666666667,136.333333333333,475.7,3.47984641325863,8.96174809561336,0.126472130417824,312.85
"61",67,1929,"Sandwith, C.","10","Poaceae","Hyparrhenia hirta","HH","3318CD",-33.875,18.375,"C4",1.968,1.9,-11.1,1.2,43.5,34.8,-6.841285714,4.30651662,114.666666666667,259,144.333333333333,434.566666666667,2.9225308239787,7.11436434847042,-0.149207904934883,306.12
"62",68,1973,"Esterhuysen, E.E.","33325","Poaceae","Pentameris pallida","PP","3318CD",-33.875,18.375,"C3",1.95,2,-28.6,1,41.8,43.1,-7.39275,21.83163475,132.5,264.5,132,375.25,2.75299288808961,7.67155051755495,-0.200580358505249,327.92
"63",69,1986,"Spies, J.J.","3239","Poaceae","Pentameris pallida","PP","3318CD",-33.875,18.375,"C3",1.819,0.4,-29.3,1.1,42.3,37.5,-7.734,22.21695684,135,258,123,611.033333333333,4.8064253647587,9.72762923351159,0.209095224738121,344.66
"64",70,1913,"Bolus, F.","14680","Poaceae","Pentameris pallida","PP","3318CD",-33.875,18.375,"C3",1.924,4.4,-27.3,2.1,43.2,20.5,-6.867,21.00647682,124.6,234,109.4,481.64,4.65340038786861,9.49954996149404,-1.15065884590149,299.91
"65",71,1892,"Schlechter, F.R.R.","847","Poaceae","Pentameris pallida","PP","3318CD",-33.95,18.46666667,"C3",1.178,2.8,-27.2,0.9,43.6,46.8,-6.830153626,20.939398,112.5,247.5,135,673.45,4.98717135577601,9.53820346320344,-0.149958103895187,293.25
"66",72,1978,"Durand, B.J.","343","Poaceae","Pentameris pallida","PP","3318CD",-33.875,18.375,"C3",1.759,1.4,-28.2,2.1,45.3,21.9,-7.502,21.29862112,107.75,276.25,168.5,487.925,3.17059839665403,8.4068857531934,-0.64559131860733,333.77
"67",73,1896,"Wolley-Dod, A.H.","1821","Poaceae","Pentameris pallida","PP","3318CD",-33.98333333,18.45,"C3",1.931,0.9,-29.6,2.9,44.1,15.4,-6.857648154,23.4360592,123.333333333333,229.666666666667,106.333333333333,363.166666666667,3.44479079726154,9.47466813598826,-0.890935361385345,293.78
"68",75,1919,"Andreae, H.","86","Poaceae","Pentameris pallida","PP","3318CD",-33.875,18.375,"C3",1.58,0.5,-29,1.4,42.6,30.2,-6.94453502,22.71417609,145.8,270.4,124.6,416.9,3.27921460315421,7.67049377392234,-0.969066202640533,303.7
"69",76,1936,"Adamson, R.S.","781","Poaceae","Hyparrhenia hirta","HH","3318CD",-33.875,18.375,"C4",1.89,3,-10.7,1.5,45.2,29.5,-6.939,3.801677954,146,253,107,408,3.76071367884452,9.43872967990614,-0.232900843024254,308.44
"70",77,1976,"Du Toit, P.C.V.","1502","Poaceae","Pentameris pallida","PP","3318CD",-33.875,18.375,"C3",1.725,1.9,-28.8,0.7,42.6,57,-7.4425,21.99083608,145.5,281,135.5,626,4.20350432288992,10.0248218201755,-0.462118536233902,331.57
"71",78,1974,"Ellis, R.P.","2306","Poaceae","Pentameris pallida","PP","3318CD",-33.875,18.375,"C3",1.764,1.9,-30.7,1.5,52,33.6,-7.483,23.95233674,120.6,257,136.4,805.24,5.75302831606104,13.7471592637931,-0.492542624473572,329.19
"72",79,1952,"Fairall, A.R.","248","Poaceae","Pentameris pallida","PP","3318CD",-33.98333333,18.41666667,"C3",1.657,-0.2,-30,1.3,45.2,33.7,-6.996541783,23.71490538,147,275.5,128.5,503.525,4.08237635641301,9.87268860517148,0.918857276439667,312.43
"73",80,1929,"Sandwith, C.","88","Poaceae","Hyparrhenia hirta","HH","3318CD",-33.875,18.375,"C4",1.617,-0.6,-11.4,0.9,43.1,49.8,-6.841285714,4.611282911,114.666666666667,259,144.333333333333,434.566666666667,2.9225308239787,7.11436434847042,-0.149207904934883,306.12
"74",81,1951,"Garside, S.","25439","Poaceae","Pentameris pallida","PP","3318CD",-33.875,18.375,"C3",1.576,0.9,-29.2,0.7,43.7,62.8,-6.993443595,22.87449156,99.25,226.5,127.25,686.125,4.94393426888464,9.52187890842328,0.169866383075714,312.1
"75",82,1963,"Esterhuysen, E.E.","30036","Poaceae","Pentameris pallida","PP","3318CD",-33.995,18.41666667,"C3",1.532,2.2,-30.5,1.3,43.8,34.4,-7.055,24.18256833,140.2,261.6,121.4,449.54,3.96943633003573,9.70842883069742,0.251448929309845,317.77
"76",83,1987,"Spies, J.J.","3652","Poaceae","Pentameris pallida","PP","3318CD",-33.875,18.375,"C3",1.65,0.9,-29.9,1.1,43.3,38.9,-7.7495,22.83321307,102,266,164,773,4.68484848484848,11.2028985507246,-0.161622613668442,346.22
"77",85,1976,"Du Toit, P.C.V.","1508","Poaceae","Pentameris pallida","PP","3318CD",-33.91944444,18.39861111,"C3",1.572,0.8,-29.8,1.1,44.5,40.9,-7.4425,23.04421769,145.5,281,135.5,626,4.20350432288992,10.0248218201755,-0.462118536233902,331.57
"78",86,1976,"Du Toit, PCV","1524","Poaceae","Pentameris pallida","PP","3318CD",-33.875,18.375,"C3",1.64,3,-28.4,2.1,42.1,20.1,-7.4425,21.57009057,145.5,281,135.5,626,4.20350432288992,10.0248218201755,-0.462118536233902,331.57
"79",88,1954,"Esterhuysen, E.E.","22651","Poaceae","Pentameris pallida","PP","3318CD",-33.95,18.4,"C3",1.802,-0.9,-27.4,1.3,45.3,34.6,-7.02960461,20.94426834,116.333333333333,220.666666666667,104.333333333333,538.433333333333,5.17449756280465,11.3616984434006,-0.224604234099388,313.37
"80",89,1976,"Du Toit, P.C.V.","1519","Poaceae","Hyparrhenia hirta","HH","3318CD",-33.875,18.375,"C4",1.814,1,-12.3,1.3,44.3,35.2,-7.4425,4.917991293,145.5,281,135.5,626,4.20350432288992,10.0248218201755,-0.462118536233902,331.57
"81",90,1958,"Esterhuysen, E.E.","27950","Poaceae","Pentameris pallida","PP","3318CD",-33.95,18.4,"C3",1.901,2.9,-27.4,0.7,44.1,65.4,-7.066575548,20.90625586,106.8,243.6,136.8,407.38,2.95558129694277,8.57805409356725,0.264122039079666,314.98
"82",91,1986,"Spies, J.J.","3239","Poaceae","Pentameris pallida","PP","3318CD",-33.875,18.375,"C3",1.857,3.2,-29.7,1.2,41.2,33.8,-7.734,22.63835927,135,258,123,611.033333333333,4.8064253647587,9.72762923351159,0.209095224738121,344.66
"83",92,1929,"Hitchcock, A.S.","24082","Poaceae","Hyparrhenia hirta","HH","3318CD",-33.875,18.375,"C4",1.76,5.2,-10.9,0.9,44.8,47.2,-6.841285714,4.103441801,114.666666666667,259,144.333333333333,434.566666666667,2.9225308239787,7.11436434847042,-0.149207904934883,306.12
"84",93,1935,"Esterhuysen, E.E.","598","Poaceae","Pentameris pallida","PP","3318CD",-33.96666667,18.41666667,"C3",1.871,2.4,-28.5,1,41.9,42.3,-6.976,22.15542975,107.25,272.5,165.25,559.9,3.20725109727757,10.4520892332882,0.120336756110191,307.9
"85",94,1922,"Pole-Evans, I.B.","489","Poaceae","Koeleria capensis","KC","3318CD",-33.875,18.375,"C3",1.797,2.6,-28.2,1.5,43.4,29.7,-6.857960447,21.96134961,123.5,250.5,127,459.05,3.586328125,7.76252927400469,-0.0940185412764549,304.76
"86",95,1929,"Sandwith, C.","130","Poaceae","Hyparrhenia hirta","HH","3318CD",-33.875,18.375,"C4",1.828,-0.4,-11.3,0.3,41.3,123,-6.841285714,4.509673597,114.666666666667,259,144.333333333333,434.566666666667,2.9225308239787,7.11436434847042,-0.149207904934883,306.12
"87",97,1939,"Adamson, R.S.","2684","Poaceae","Pentameris pallida","PP","3418AB",-34.125,18.375,"C3",1.717,2.5,-26.9,1.1,42.5,37.8,-6.994,20.45627376,111,254,143,643.4,4.46805555555556,9.89846153846154,-0.20807608962059,310.07
"88",98,1974,"Ellis, R.P.","2316","Poaceae","Pentameris pallida","PP","3418AB",-34.125,18.375,"C3",1.945,1.8,-30.3,2.9,44.6,15.5,-7.483,23.52995772,119,260,141,1109.1,7.81056338028169,17.0630769230769,-0.500678598880768,329.19
"89",99,1987,"Spies, J.J.","3433","Poaceae","Pentameris pallida","PP","3418AB",-34.125,18.375,"C3",1.673,1.9,-29.9,1.2,42.1,35.4,-7.7495,22.83321307,123,266,143,898.6,6.24027777777778,14.4935483870968,-0.0394514389336109,346.22
"90",100,1942,"Adamson, R.S.","3451","Poaceae","Pentameris pallida","PP","3418AB",-34.125,18.375,"C3",1.927,5.4,-30.1,1.4,41.7,28.9,-7.065637441,23.7492139,142,259,117,895.3,7.58728813559322,13.7738461538462,0.681980073451996,311.45
"91",101,1987,"Spies, J.J.","3439","Poaceae","Pentameris pallida","PP","3418AB",-34.125,18.375,"C3",1.754,1.5,-30.6,1.6,43.8,27,-7.7495,23.57179699,123,266,143,898.6,6.24027777777778,14.4935483870968,-0.0394514389336109,346.22
"92",103,1974,"Goldblatt, P.","3321","Poaceae","Pentameris pallida","PP","3418AB",-34.125,18.375,"C3",1.448,4.7,-31.2,3.3,45.5,14,-7.483,24.48080099,119,260,141,1109.1,7.81056338028169,17.0630769230769,-0.500678598880768,329.19
"93",104,1988,"Spies, J.J.","3911","Poaceae","Pentameris pallida","PP","3418AB",-34.125,18.375,"C3",1.651,7,-31,1.4,43.7,30.9,-7.804333333,23.9377365,110,258,148,771.6,5.17852348993289,12.6491803278689,0.499005362391472,347.79
"94",106,1946,"Adamson, R.S.","3718","Poaceae","Pentameris pallida","PP","3418AB",-34.125,18.375,"C3",1.758,1.5,-29.6,2,43.3,21.9,-6.983,23.30688376,92,259,167,600.2,3.57261904761905,8.95820895522388,0.701119512319565,311.74
"95",107,1974,"Ellis, R.P.","2312","Poaceae","Pentameris pallida","PP","3418AB",-34.125,18.375,"C3",1.943,1.1,-28.1,0.9,42.9,48.3,-7.483,21.21308777,119,260,141,1109.1,7.81056338028169,17.0630769230769,-0.500678598880768,329.19
"96",108,1970,"Ellis, R.P.","158","Poaceae","Hyparrhenia hirta","HH","2528CB",-25.625,28.375,"C4",1.955,4.1,-10.8,0.6,42.9,77.4,-7.318156423,3.519858044,104,231,127,620.1,4.84453125,12.1588235294118,-0.279473870992661,324.09
"97",116,1930,"Goossens, A.P.G.","128","Poaceae","Hyparrhenia hirta","HH","2528CB",-25.625,28.375,"C4",1.671,4.7,-10.7,1,42.3,43.2,-6.933243381,3.807496835,95,269,174,828.3,4.73314285714286,12.3626865671642,0.240914300084114,306.3
"98",126,1984,"Robinson, E.R.","10","Poaceae","Hyparrhenia hirta","HH","2627BB",-26.125,27.875,"C4",1.625,4,-11.4,1.4,41.5,29.8,-7.6955,3.747218288,97,229,132,551,4.55134502923976,13.4885746606335,-0.488089233636856,341.66
