year,iso_code,collector,number,family,species,sp_code,qds,lat,long,pathway,weight,d.15NAIR,d.13CVPDB,X.N,X.C,C.N,d13_atmos,delta.disc,wetstart,wetend,wetlength,wetrain,wetdaily,wetlambda
1971,328,Stephen; Oakes,172;1415,Poaceae,Digitaria eriantha,DE,2431DC,-24.544,31.424,C4,1.925,4.3,-10.4,2.2,46.2,21,-7.3475,3.084579628,149,279.5,130.5,599.7,11.201970443349744,20.1926267281106
1963,219,"Taylor, H.C.",5586,Poaceae,Pentameris pallida,PP,3318DD,-33.875,18.875,C3,1.683,-3.1,-30.4,0.6,44.2,70.1,-7.055,24.07693894,133,236,103,467.6,4.49615384615385,12.6378378378378
1964,205,"Taylor, H.C.",6031,Poaceae,Pentameris pallida,PP,3318DD,-33.875,18.875,C3,1.869,-0.4,-28.5,1,43.8,46,-7.066939165,22.06182278,124,244,120,452,3.73553719008264,11.5897435897436
1964,243,"Taylor, H.C.",6141,Poaceae,Pentameris pallida,PP,3219AC,-32.375,19.125,C3,1.746,NA,-27,0.5,46.1,87.2,-7.066939165,20.48618791,154,167,13,88.2,6.3,12.6
1913,47,Theiler,TRV 26678,Poaceae,Digitaria eriantha,DE,2528CA,-25.625,28.125,C4,1.845,7.2,-10.3,1.9,40.5,21.7,-6.867,3.468727897,135,293,158,623.3,3.92012578616352,8.65694444444444
1912,21,"Theiler, A.C.",TRV 12018,Poaceae,Hyparrhenia hirta,HH,2528CA,-25.625,28.125,C4,1.684,1.9,-11.3,1.2,41.5,34.9,-6.877314958,4.47323257,291,365,74,223.4,2.97866666666667,9.71304347826087
1912,24,"Theiler, A.C.",TRV 12020,Poaceae,Digitaria eriantha,DE,2528CA,-25.625,28.125,C4,1.857,5.5,-10.3,2.2,41.5,19.2,-6.877314958,3.45830559,291,365,74,223.4,2.97866666666667,9.71304347826087
1949,320,van Breda,341,Poaceae,Pentameris pallida,PP,3319CB,-33.625,19.375,C3,1.785,NA,-27.8,1.6,47.9,29.3,-7.03233859,21.36151143,141,321,180,370.55,2.221328320802005,10.79346320346321
1969,217,"van der Merwe, C.V.",1320,Poaceae,Pentameris pallida,PP,3318DD,-33.96666667,18.91666667,C3,1.628,3.5,-29.6,0.5,43.6,79.5,-7.305,22.97506183,153,289,136,361.3,2.635075660699065,7.43944444444444
1960,208,"van der Merwe, P.",24-26,Poaceae,Pentaschistis pallida,PP,3318DD,-33.875,18.875,C3,1.833,-1.4,-27.9,2.6,45.8,17.5,-7.084214775,21.41321389,127,174,47,312.8,6.51666666666667,14.8952380952381
1961,207,"van der Merwe, P.",25-8,Poaceae,Pentameris pallida,PP,3318DD,-33.875,18.875,C3,1.811,-0.4,-29.4,1.1,39.2,36.9,-7.10056577,22.974896179999998,119,258,139,485.4,3.46714285714286,10.5521739130435
1962,218,"van der Merwe, P.",954,Poaceae,Pentameris pallida,PP,3318DD,-33.875,18.875,C3,1.725,-0.8,-25.2,1.6,44.6,28.4,-7.091,18.57714403,157,238,81,580.8,7.08292682926829,15.6972972972973
1952,340,"van der Schijff, HP",217,Poaceae,Digitaria eriantha,DE,2531AB,-25.1,31.1557,C4,1.892,3.9,-9.9,1.9,45,24,-6.996541783,2.932489867,49,273,224,832.7,3.70088888888889,12.068115942029
1952,335,"van der Schijff, HP",224,Poaceae,Digitaria eriantha,DE,2531AB,-25.1,31.1557,C4,1.901,3.2,-10.2,2.4,40.4,17,-6.996541783,3.236470213,49,273,224,832.7,3.70088888888889,12.068115942029
1952,348,"van der Schijff, HP",376,Poaceae,Digitaria eriantha,DE,2531AB,-25.1244,31.2201,C4,1.804,NA,-10.7,1.5,46.4,31.3,-6.996541783,3.743513815,49,273,224,832.7,3.70088888888889,12.068115942029
1952,341,"van der Schijff, HP",216,Poaceae,Digitaria eriantha,DE,2531AB,-25.1,31.1557,C4,1.754,2.5,-10.1,2.1,43.3,20.4,-6.996541783,3.135122959,49,273,224,832.7,3.70088888888889,12.068115942029
1953,346,"van der Schijff, HP",2096,Poaceae,Digitaria eriantha,DE,2531AB,-25.0628,31.2225,C4,1.835,3.6,-9.3,1.9,46.2,24.5,-7.010270232,2.311224153,124,284,160,1067.3,6.62919254658385,17.4967213114754
1953,345,"van der Schijff, HP",1668,Poaceae,Digitaria eriantha,DE,2531AB,-25.1244,31.2201,C4,1.672,NA,-9,1.4,44.4,32.2,-7.010270232,2.007799968,124,284,160,1067.3,6.62919254658385,17.4967213114754
1953,337,"van der Schijff, HP",1511,Poaceae,Digitaria eriantha,DE,2531AB,-25.1,31.1557,C4,1.821,NA,-10,1.5,44.2,30.4,-7.010270232,3.019929059,124,284,160,1067.3,6.62919254658385,17.4967213114754
1953,347,"van der Schijff, HP",1640,Poaceae,Digitaria eriantha,DE,2531AB,-25.1,31.1557,C4,1.86,3.1,-9.8,2.1,46.5,21.8,-7.010270232,2.817339697,124,284,160,1067.3,6.62919254658385,17.4967213114754
1953,336,"van der Schijff, HP",1652,Poaceae,Digitaria eriantha,DE,2531AB,-25.1244,31.2201,C4,1.793,NA,-10.1,1.5,46.3,31.6,-7.010270232,3.121254438,124,284,160,1067.3,6.62919254658385,17.4967213114754
1953,342,"van der Schijff, HP",1642,Poaceae,Digitaria eriantha,DE,2531AB,-25.1244,31.2201,C4,1.645,2.7,-10.1,1.4,42.9,30.2,-7.010270232,3.121254438,124,284,160,1067.3,6.62919254658385,17.4967213114754
1954,339,"van der Schijff, HP",3395,Poaceae,Digitaria eriantha,DE,2531AB,-25.1244,31.2201,C4,1.791,0.2,-11.2,1.9,45.9,23.9,-7.02960461,4.217632879,120,239,119,902.9,7.5241666666666696,22.0219512195122
1934,195,"van O'Bruyn, O.",154,Poaceae,Hyparrhenia hirta,HH,2628AA,-26.125,28.125,C4,1.726,-2.4,-10.4,1.6,44.7,28.6,-6.961154178,3.474985673,123,235.375,112.375,712.725,6.424811902864137,12.890918556024701
1959,202,"van Rensburg, W.L.J.",248,Poaceae,Pentameris pallida,PP,3318DD,-33.875,18.875,C3,1.87,1.4,-27.2,2.2,42.6,19.6,-7.067,20.69592928,92,151,59,414,6.9,17.25
1944,7,"Wasserfall, E.",PRE 33399,Poaceae,Digitaria eriantha,DE,2528CA,-25.625,28.125,C4,1.688,6,-10.9,2.1,42.2,20.4,-7.079100425,3.863006344,115,240,125,594.4,4.7226885989790155,10.9180330634278
1947,286,"Wilman, M.",PRE 34692,Poaceae,Pentameris pallida,PP,3322DC,-33.875,22.625,C3,1.744,-1.6,-29.4,1.9,48.3,25.5,-7.013,23.06511436,89,244.5,155.5,407.35,2.610110535831685,7.659516242937849
1974,278,"Wilson, D.",PFS 12,Poaceae,Digitaria eriantha,DE,2429AA,-24.125,29.125,C4,1.669,NA,-11.5,1.4,48.1,33.6,-7.483,4.063732929,88,251,163,587.7,3.6190673575129546,17.23792207792205
1974,276,"Wilson, D.",PFS12A,Poaceae,Digitaria eriantha,DE,2429AA,-24.125,29.125,C4,1.66,NA,-10.6,1.7,48.1,28.8,-7.483,3.150394178,88,251,163,587.7,3.6190673575129546,17.23792207792205
1896,73,"Wolley-Dod, A.H.",1821,Poaceae,Pentameris pallida,PP,3318CD,-33.98333333,18.45,C3,1.931,0.9,-29.6,2.9,44.1,15.4,-6.857648154,23.4360592,123.33333333333333,229.66666666666666,106.33333333333333,363.1666666666667,3.4447907972615432,9.47466813598826
1897,56,"Wolley-Dod, A.H.",3558,Poaceae,Pentameris pallida,PP,3318CD,-33.95,18.46666667,C3,1.63,5.6,-29,1.6,41.4,25.9,-6.796333333,22.86680398,171,282,111,516.7,4.504076065152855,8.6137575757576
2007,334,"Bouchenak-Khelladi, Y",YBK 163,Poaceae,Digitaria eriantha,DE,2531BB,-25.1241,31.5547,C4,1.861,0.6,-12.5,2.8,43.4,15.3,-8.26651815,4.287070228,121.66666666666667,279,157.33333333333334,331.3,14.837724867724868,14.837724867724868
2007,326,"Bouchenak-Khelladi, Y",YBK 235,Poaceae,Digitaria eriantha,DE,2331DC,-23.5233,31.3504,C4,1.828,1.3,-13.1,1.8,41.8,23.5,-8.26651815,4.897640946,140,275,135,223.09999999999997,11.795,11.795
2007,333,"Bouchenak-Khelladi, Y",YBK 133,Poaceae,Digitaria eriantha,DE,2531BB,-25.1134,31.4619,C4,1.724,2.7,-13.5,2.4,47.4,19.4,-8.26651815,5.30510071,121.66666666666667,279,157.33333333333334,331.3,14.837724867724868,14.837724867724868
2005,325,"Hauser, JR; Vaughan, AK",s.n.,Poaceae,Digitaria eriantha,DE,2231CA,22.4129,-22.4129,C4,1.694,NA,-13,1.5,45.8,30.6,-8.206351483,4.856786744,144,224,80,188.4,5.541176470588231,6.07741935483871
2005,323,"Morrison, E; Klasen, M",4,Poaceae,Digitaria eriantha,DE,2231CA,22.4227,-22.4227,C4,1.718,6.8,-13.6,2.1,47.3,22.5,-8.206351483,5.4680135,144,224,80,188.4,5.541176470588231,6.07741935483871
1971,332,Stephen; Oakes,154;1394,Poaceae,Digitaria eriantha,DE,2531BB,-25.0709,31.5458,C4,1.826,4.8,-11,2.6,45.5,17.3,-7.3475,3.693124368,132.5,285,152.5,519.6999999999999,15.07138655462185,15.30770562770565
