year,iso_code,collector,number,family,species,sp_code,qds,lat,long,pathway,weight,d.15NAIR,d.13CVPDB,X.N,X.C,C.N,d13_atmos,delta.disc,wetstart,wetend,wetlength,wetrain,wetdaily,wetlambda
1933,191,"Meebold, A.",13885,Poaceae,Hyparrhenia hirta,HH,2628AA,-26.125,28.125,C4,1.665,8,-11.9,1.2,42.6,37,-6.912,5.048072057,117.44444444444444,279.55555555555554,162.11111111111111,433.0888888888889,2.6906455463459156,7.948128301925423
1918,172,"Mogg, A.O.D.",3271,Poaceae,Koeleria capensis,KC,2929BC,-29.375,29.625,C3,1.701,1.4,-26.6,1.7,42.1,25.1,-6.938044526,20.19925567,117,244,127,981.7,7.66953125,12.27125
1929,138,"Mogg, A.O.D.",PRE 7969,Poaceae,Digitaria eriantha,DE,2528CC,-25.875,28.125,C4,1.966,1.7,-10.5,1.9,43.7,22.9,-6.841285714,3.697538439,140.5,279.5,139,558.25,3.99140114379085,12.8078689370485
1931,1,"Mogg, A.O.D.",16454,Poaceae,Digitaria eriantha,DE,2528CA,-25.625,28.125,C4,1.802,5.2,-11.4,2.7,54.1,20.3,-6.9815,4.46945175,141.66666666666666,288.3333333333333,146.66666666666666,437.1333333333333,3.010114217553977,8.70354525648643
1931,3,"Mogg, A.O.D.",16471,Poaceae,Digitaria eriantha,DE,2528CA,-25.625,28.125,C4,1.841,2.5,-10.8,1.2,42.1,36.6,-6.9815,3.860190053,141.66666666666666,288.3333333333333,146.66666666666666,437.1333333333333,3.010114217553977,8.70354525648643
1931,4,"Mogg, A.O.D.",16453,Poaceae,Digitaria eriantha,DE,2528CA,-25.625,28.125,C4,1.82,8.8,-10.1,2,50.9,24.8,-6.9815,3.150318214,141.66666666666666,288.3333333333333,146.66666666666666,437.1333333333333,3.010114217553977,8.70354525648643
1931,52,"Mogg, A.O.D.",16472,Poaceae,Digitaria eriantha,DE,2528CA,-25.625,28.125,C4,1.788,3,-11.3,1.2,43.5,37,-6.9815,4.367856782,141.66666666666666,288.3333333333333,146.66666666666666,437.1333333333333,3.010114217553977,8.70354525648643
1932,12,"Mogg, A.O.D.",12348,Poaceae,Hyparrhenia hirta,HH,2528CA,-25.625,28.125,C4,1.718,2.3,-11.7,0.9,40.5,43.7,-6.906,4.85075382,111,262,151,502.35,3.304934210526315,9.38925576519916
1932,17,"Mogg, A.O.D.",12331,Poaceae,Digitaria eriantha,DE,2528CA,-25.625,28.125,C4,1.632,3.7,-11.6,1.5,42.9,29.2,-6.906,4.749089437,111,262,151,502.35,3.304934210526315,9.38925576519916
1932,36,"Mogg, A.O.D.",12329,Poaceae,Digitaria eriantha,DE,2528CA,-25.625,28.125,C4,1.701,7.3,-11.1,1.6,43.6,27.9,-6.906,4.241075943,111,262,151,502.35,3.304934210526315,9.38925576519916
1932,38,"Mogg, A.O.D.",12330,Poaceae,Digitaria eriantha,DE,2528CA,-25.625,28.125,C4,1.651,6.8,-9.5,2.5,43.5,17.3,-6.906,2.618879354,111,262,151,502.35,3.304934210526315,9.38925576519916
1936,6,"Mogg, A.O.D.",13715,Poaceae,Digitaria eriantha,DE,2528CA,-25.625,28.125,C4,1.703,3.4,-10.4,1.2,41.2,33.1,-6.939,3.497372676,170.33333333333334,327,156.66666666666666,638.9666666666667,4.0939787244872,15.460565961626166
1969,127,"Mogg, A.O.D.",34154,Poaceae,Hyparrhenia hirta,HH,2627BB,-26.125,27.875,C4,1.658,1.9,-12,0.3,45.4,129.8,-7.305,4.752024291,127.66666666666667,325.6666666666667,198,583.3666666666667,2.9327194292351066,6.697142857142857
1964,226,"Moll, E.J.",1208,Poaceae,Koeleria capensis,KC,2930AC,-29.375,30.125,C3,1.831,0.3,-25.7,1.9,44.7,24.1,-7.066939165,19.12456208,108,232,124,689.45,5.55235123175484,11.9768148820327
1964,230,"Moll, E.J.",1094,Poaceae,Koeleria capensis,KC,2930AC,-29.375,30.125,C3,1.838,-0.3,-28,2.3,41.2,17.8,-7.066939165,21.53607082,108,232,124,689.45,5.55235123175484,11.9768148820327
