iso_code,X,qds,year,collector,number,family,species,sp_code,lat,long,pathway,weight,d.15NAIR,d.13CVPDB,X.N,X.C,C.N,d13_atmos,delta.disc,wetstart,wetend,wetlength,wetrain,wetdaily,wetlambda,avg_temp_anomaly,co2_ppm
57,250,3318CD,1916,"Bolus, F.",14960,Poaceae,Pentameris pallida,PP,-33.875,18.375,C3,1.873,3.9,-27.8,1.3,40.7,30.5,-6.8975,21.50020572,119,256,137,539.374768518519,4.09574915607499,9.58492371611717,-0.059687353670597076,301.93
58,283,3318CD,1902,"Marloth, H.W.R.",3049,Poaceae,Pentameris pallida,PP,-33.875,18.375,C3,1.955,-0.3,-27.5,1.3,43.6,33.9,-6.769743787,21.31645883,119,256,137,539.374768518519,4.09574915607499,9.58492371611717,-0.6395816206932068,295.95
59,277,3318CD,1940,"Esterhuysen, E.E.",11753,Poaceae,Pentameris pallida,PP,-33.875,18.375,C3,1.744,2,-28.5,1,42.7,43.7,-6.938,22.19454452,119,256,137,539.374768518519,4.09574915607499,9.58492371611717,-0.5464547276496887,310.55
60,258,3318CD,1974,"Ellis, R.P.",2307,Poaceae,Pentameris pallida,PP,-33.875,18.375,C3,1.524,4.9,-28.9,1.1,42.6,39.2,-7.483,22.05437133,119,256,137,539.374768518519,4.09574915607499,9.58492371611717,-0.4925426244735718,329.19
61,253,3318CD,1919,"Andreae, H.",85,Poaceae,Pentameris pallida,PP,-33.875,18.375,C3,1.617,-1.5,-28.4,0.9,43.7,46.6,-6.94453502,22.08261114,119,256,137,539.374768518519,4.09574915607499,9.58492371611717,-0.8638808727264404,303.7
63,262,3318CD,1976,"Du Toit, PCV",1522,Poaceae,Pentameris pallida,PP,-33.875,18.375,C3,1.953,4.4,-29.2,1.8,41.6,23.3,-7.4425,22.41192831,119,256,137,539.374768518519,4.09574915607499,9.58492371611717,-0.4923199415206909,331.57
64,247,3318CD,1915,"Bolus, H.M.L.",14741,Poaceae,Pentameris pallida,PP,-33.98333333,18.41666667,C3,1.794,0.5,-28.2,1.4,44.2,32.7,-6.878861797,21.93984174,119,256,137,539.374768518519,4.09574915607499,9.58492371611717,-0.3042600154876709,301.23
65,246,3318CD,1936,"Adamson, R.S.",811,Poaceae,Koeleria capensis,KC,-33.875,18.375,C3,1.714,2.7,-26.1,1.9,45.7,24.2,-6.939,19.67450457,119,256,137,539.374768518519,4.09574915607499,9.58492371611717,-0.07556712627410889,308.44
66,245,3318CD,1953,"Esterhuysen, E.E.",22181,Poaceae,Pentameris pallida,PP,-33.95,18.41666667,C3,1.872,3.8,-27.4,0.9,44.2,48.8,-7.010270232,20.96414741,119,256,137,539.374768518519,4.09574915607499,9.58492371611717,0.07585608959197998,312.85
67,251,3318CD,1929,"Sandwith, C.",10,Poaceae,Hyparrhenia hirta,HH,-33.875,18.375,C4,1.968,1.9,-11.1,1.2,43.5,34.8,-6.841285714,4.30651662,119,256,137,539.374768518519,4.09574915607499,9.58492371611717,-0.14920790493488312,306.12
68,267,3318CD,1973,"Esterhuysen, E.E.",33325,Poaceae,Pentameris pallida,PP,-33.875,18.375,C3,1.95,2,-28.6,1,41.8,43.1,-7.39275,21.83163475,119,256,137,539.374768518519,4.09574915607499,9.58492371611717,-0.30543002486228943,327.92
69,274,3318CD,1986,"Spies, J.J.",3239,Poaceae,Pentameris pallida,PP,-33.875,18.375,C3,1.819,0.4,-29.3,1.1,42.3,37.5,-7.734,22.21695684,119,256,137,539.374768518519,4.09574915607499,9.58492371611717,0.22510617971420288,344.66
70,260,3318CD,1913,"Bolus, F.",14680,Poaceae,Pentameris pallida,PP,-33.875,18.375,C3,1.924,4.4,-27.3,2.1,43.2,20.5,-6.867,21.00647682,119,256,137,539.374768518519,4.09574915607499,9.58492371611717,-0.78395843505859375,299.91
71,281,3318CD,1892,"Schlechter, F.R.R.",847,Poaceae,Pentameris pallida,PP,-33.95,18.46666667,C3,1.178,2.8,-27.2,0.9,43.6,46.8,-6.830153626,20.939398,119,256,137,539.374768518519,4.09574915607499,9.58492371611717,-0.14995810389518738,293.25
72,270,3318CD,1978,"Durand, B.J.",343,Poaceae,Pentameris pallida,PP,-33.875,18.375,C3,1.759,1.4,-28.2,2.1,45.3,21.9,-7.502,21.29862112,119,256,137,539.374768518519,4.09574915607499,9.58492371611717,-0.5999441742897034,333.77
73,264,3318CD,1896,"Wolley-Dod, A.H.",1821,Poaceae,Pentameris pallida,PP,-33.98333333,18.45,C3,1.931,0.9,-29.6,2.9,44.1,15.4,-6.857648154,23.4360592,119,256,137,539.374768518519,4.09574915607499,9.58492371611717,-0.8051316142082214,293.78
75,268,3318CD,1919,"Andreae, H.",86,Poaceae,Pentameris pallida,PP,-33.875,18.375,C3,1.58,0.5,-29,1.4,42.6,30.2,-6.94453502,22.71417609,119,256,137,539.374768518519,4.09574915607499,9.58492371611717,-0.8638808727264404,303.7
76,279,3318CD,1936,"Adamson, R.S.",781,Poaceae,Hyparrhenia hirta,HH,-33.875,18.375,C4,1.89,3,-10.7,1.5,45.2,29.5,-6.939,3.801677954,119,256,137,539.374768518519,4.09574915607499,9.58492371611717,-0.07556712627410889,308.44
77,284,3318CD,1976,"Du Toit, P.C.V.",1502,Poaceae,Pentameris pallida,PP,-33.875,18.375,C3,1.725,1.9,-28.8,0.7,42.6,57,-7.4425,21.99083608,119,256,137,539.374768518519,4.09574915607499,9.58492371611717,-0.4923199415206909,331.57
78,271,3318CD,1974,"Ellis, R.P.",2306,Poaceae,Pentameris pallida,PP,-33.875,18.375,C3,1.764,1.9,-30.7,1.5,52,33.6,-7.483,23.95233674,119,256,137,539.374768518519,4.09574915607499,9.58492371611717,-0.4925426244735718,329.19
79,255,3318CD,1952,"Fairall, A.R.",248,Poaceae,Pentameris pallida,PP,-33.98333333,18.41666667,C3,1.657,-0.2,-30,1.3,45.2,33.7,-6.996541783,23.71490538,119,256,137,539.374768518519,4.09574915607499,9.58492371611717,0.9096612334251404,312.43
80,263,3318CD,1929,"Sandwith, C.",88,Poaceae,Hyparrhenia hirta,HH,-33.875,18.375,C4,1.617,-0.6,-11.4,0.9,43.1,49.8,-6.841285714,4.611282911,119,256,137,539.374768518519,4.09574915607499,9.58492371611717,-0.14920790493488312,306.12
81,249,3318CD,1951,"Garside, S.",25439,Poaceae,Pentameris pallida,PP,-33.875,18.375,C3,1.576,0.9,-29.2,0.7,43.7,62.8,-6.993443595,22.87449156,119,256,137,539.374768518519,4.09574915607499,9.58492371611717,0.20256102085113525,312.1
82,261,3318CD,1963,"Esterhuysen, E.E.",30036,Poaceae,Pentameris pallida,PP,-33.995,18.41666667,C3,1.532,2.2,-30.5,1.3,43.8,34.4,-7.055,24.18256833,119,256,137,539.374768518519,4.09574915607499,9.58492371611717,0.2421606183052063,317.77
83,257,3318CD,1987,"Spies, J.J.",3652,Poaceae,Pentameris pallida,PP,-33.875,18.375,C3,1.65,0.9,-29.9,1.1,43.3,38.9,-7.7495,22.83321307,119,256,137,539.374768518519,4.09574915607499,9.58492371611717,-0.16162261366844177,346.22
85,272,3318CD,1976,"Du Toit, P.C.V.",1508,Poaceae,Pentameris pallida,PP,-33.91944444,18.39861111,C3,1.572,0.8,-29.8,1.1,44.5,40.9,-7.4425,23.04421769,119,256,137,539.374768518519,4.09574915607499,9.58492371611717,-0.4923199415206909,331.57
86,278,3318CD,1976,"Du Toit, PCV",1524,Poaceae,Pentameris pallida,PP,-33.875,18.375,C3,1.64,3,-28.4,2.1,42.1,20.1,-7.4425,21.57009057,119,256,137,539.374768518519,4.09574915607499,9.58492371611717,-0.4923199415206909,331.57
88,275,3318CD,1954,"Esterhuysen, E.E.",22651,Poaceae,Pentameris pallida,PP,-33.95,18.4,C3,1.802,-0.9,-27.4,1.3,45.3,34.6,-7.02960461,20.94426834,119,256,137,539.374768518519,4.09574915607499,9.58492371611717,-0.223001629114151,313.37
89,273,3318CD,1976,"Du Toit, P.C.V.",1519,Poaceae,Hyparrhenia hirta,HH,-33.875,18.375,C4,1.814,1,-12.3,1.3,44.3,35.2,-7.4425,4.917991293,119,256,137,539.374768518519,4.09574915607499,9.58492371611717,-0.4923199415206909,331.57
90,276,3318CD,1958,"Esterhuysen, E.E.",27950,Poaceae,Pentameris pallida,PP,-33.95,18.4,C3,1.901,2.9,-27.4,0.7,44.1,65.4,-7.066575548,20.90625586,119,256,137,539.374768518519,4.09574915607499,9.58492371611717,0.28540220856666565,314.98
91,252,3318CD,1986,"Spies, J.J.",3239,Poaceae,Pentameris pallida,PP,-33.875,18.375,C3,1.857,3.2,-29.7,1.2,41.2,33.8,-7.734,22.63835927,119,256,137,539.374768518519,4.09574915607499,9.58492371611717,0.22510617971420288,344.66
92,269,3318CD,1929,"Hitchcock, A.S.",24082,Poaceae,Hyparrhenia hirta,HH,-33.875,18.375,C4,1.76,5.2,-10.9,0.9,44.8,47.2,-6.841285714,4.103441801,119,256,137,539.374768518519,4.09574915607499,9.58492371611717,-0.14920790493488312,306.12
93,285,3318CD,1935,"Esterhuysen, E.E.",598,Poaceae,Pentameris pallida,PP,-33.96666667,18.41666667,C3,1.871,2.4,-28.5,1,41.9,42.3,-6.976,22.15542975,119,256,137,539.374768518519,4.09574915607499,9.58492371611717,0.12033675611019135,307.9
94,280,3318CD,1922,"Pole-Evans, I.B.",489,Poaceae,Koeleria capensis,KC,-33.875,18.375,C3,1.797,2.6,-28.2,1.5,43.4,29.7,-6.857960447,21.96134961,119,256,137,539.374768518519,4.09574915607499,9.58492371611717,-0.029394090175628662,304.76
95,259,3318CD,1929,"Sandwith, C.",130,Poaceae,Hyparrhenia hirta,HH,-33.875,18.375,C4,1.828,-0.4,-11.3,0.3,41.3,123,-6.841285714,4.509673597,119,256,137,539.374768518519,4.09574915607499,9.58492371611717,-0.14920790493488312,306.12
97,330,3418AB,1939,"Adamson, R.S.",2684,Poaceae,Pentameris pallida,PP,-34.125,18.375,C3,1.717,2.5,-26.9,1.1,42.5,37.8,-6.994,20.45627376,125,263,138,745.44406779661006,5.50035162839452,13.4901802844359,-0.2885485291481018,310.07
98,322,3418AB,1974,"Ellis, R.P.",2316,Poaceae,Pentameris pallida,PP,-34.125,18.375,C3,1.945,1.8,-30.3,2.9,44.6,15.5,-7.483,23.52995772,125,263,138,745.44406779661006,5.50035162839452,13.4901802844359,-0.5941168963909149,329.19
99,329,3418AB,1987,"Spies, J.J.",3433,Poaceae,Pentameris pallida,PP,-34.125,18.375,C3,1.673,1.9,-29.9,1.2,42.1,35.4,-7.7495,22.83321307,125,263,138,745.44406779661006,5.50035162839452,13.4901802844359,-0.039451438933610916,346.22
100,325,3418AB,1942,"Adamson, R.S.",3451,Poaceae,Pentameris pallida,PP,-34.125,18.375,C3,1.927,5.4,-30.1,1.4,41.7,28.9,-7.065637441,23.7492139,125,263,138,745.44406779661006,5.50035162839452,13.4901802844359,0.6819800734519958,311.45
101,323,3418AB,1987,"Spies, J.J.",3439,Poaceae,Pentameris pallida,PP,-34.125,18.375,C3,1.754,1.5,-30.6,1.6,43.8,27,-7.7495,23.57179699,125,263,138,745.44406779661006,5.50035162839452,13.4901802844359,-0.039451438933610916,346.22
102,326,3418AB,1983,"O'Callaghan, M.G.",696,Poaceae,Pentameris pallida,PP,-34.125,18.375,C3,1.654,2.3,-29.6,0.6,42.3,73.8,-7.65725,22.61206719,125,263,138,745.44406779661006,5.50035162839452,13.4901802844359,-0.027621647343039513,340.22
103,331,3418AB,1974,"Goldblatt, P.",3321,Poaceae,Pentameris pallida,PP,-34.125,18.375,C3,1.448,4.7,-31.2,3.3,45.5,14,-7.483,24.48080099,125,263,138,745.44406779661006,5.50035162839452,13.4901802844359,-0.5941168963909149,329.19
104,328,3418AB,1988,"Spies, J.J.",3911,Poaceae,Pentameris pallida,PP,-34.125,18.375,C3,1.651,7,-31,1.4,43.7,30.9,-7.804333333,23.9377365,125,263,138,745.44406779661006,5.50035162839452,13.4901802844359,0.562126487493515,347.79
105,332,3418AB,1918,"Bolus, H.M.L.",PRE 34739,Poaceae,Pentameris pallida,PP,-34.125,18.375,C3,1.812,1.9,-28.3,1.5,44.6,29.6,-6.938044526,21.98410566,125,263,138,745.44406779661006,5.50035162839452,13.4901802844359,-0.9958686530590057,303.2
